,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,Text,Text Length,Text Length Token,sentiment
4404,1094,35,Cute dress but sticky zipper,"I ran into retailer today and was very excited to see this dress since i had liked it online but wanted to be able to try it on based on reviews. it does run small for maeve.  typically with maeve a 2 fits better on me but i can always wear a 4. in this dress the 4 just fit. it is darling. i got the red and i love the fabric detail and stitched detail. however, the zipper is awful! no way around it, terrible! when i went to try this on at the store the zipper split just opening it to try th",4,1,7,General,Dresses,Dresses,"Cute dress but sticky zipper. I ran into retailer today and was very excited to see this dress since i had liked it online but wanted to be able to try it on based on reviews. it does run small for maeve.  typically with maeve a 2 fits better on me but i can always wear a 4. in this dress the 4 just fit. it is darling. i got the red and i love the fabric detail and stitched detail. however, the zipper is awful! no way around it, terrible! when i went to try this on at the store the zipper split just opening it to try th",525,136,1
22724,1087,52,Swimming in fabric,"This looked fabulous on the model, of course, and i love sweater dresses. but even in an xs, i was drowning in fabric and looked ludicrous. concept is good but execution went terribly wrong somewhere. a definite return.",1,0,0,General Petite,Dresses,Dresses,"Swimming in fabric. This looked fabulous on the model, of course, and i love sweater dresses. but even in an xs, i was drowning in fabric and looked ludicrous. concept is good but execution went terribly wrong somewhere. a definite return.",239,61,0
6378,1082,39,Nice ivory vintag-y,"I tried on a regular size at the store, and definitely need petite (5'1.5', 115 lbs). the dress is comfrotbale, and the ivory color gives it a victorian feel. the sleeves are nice a cover the shoulder in a flattrering spot, where hte muscles meet. there is alining, so not see-through. length was too long, why i need petie, also loose-fitting, i would like it more a little more fitted, jsut a bit.",4,1,25,General,Dresses,Dresses,"Nice ivory vintag-y. I tried on a regular size at the store, and definitely need petite (5'1.5', 115 lbs). the dress is comfrotbale, and the ivory color gives it a victorian feel. the sleeves are nice a cover the shoulder in a flattrering spot, where hte muscles meet. there is alining, so not see-through. length was too long, why i need petie, also loose-fitting, i would like it more a little more fitted, jsut a bit.",420,119,1
18931,878,39,Very thin,"The fabric is very thin. i have seen this comment on several sundry reviews, but its hard to imagine how thin the fabric is until you see it in person. i could put a cami under it - but it was also rather short on me. i don't usually have trouble with shirts running short and can even sometimes wear petite sizes since i am only 5'4"".",3,0,2,General Petite,Tops,Knits,"Very thin. The fabric is very thin. i have seen this comment on several sundry reviews, but its hard to imagine how thin the fabric is until you see it in person. i could put a cami under it - but it was also rather short on me. i don't usually have trouble with shirts running short and can even sometimes wear petite sizes since i am only 5'4"".",346,83,0
16297,867,33,Great staple with a little detail.,"I love the elbow patches on this shirt. i ordered the wine color, and it's dark enough to almost be a neutral. i've worn it with many things already. my only complaint is that the sleeves are super long. typically, long sleeved shirts are too short for me, so i'm guessing this one would be ridiculously long on someone with short arms.",5,1,10,General,Tops,Knits,"Great staple with a little detail.. I love the elbow patches on this shirt. i ordered the wine color, and it's dark enough to almost be a neutral. i've worn it with many things already. my only complaint is that the sleeves are super long. typically, long sleeved shirts are too short for me, so i'm guessing this one would be ridiculously long on someone with short arms.",372,100,1
10825,1110,35,This dress! <3,"I've been wanting to try on this dress since it popped up online, we visited san francisco this weekend & i finally got my chance. it fit great & was flattering! i am currently pregnant & it worked with my growing belly but will also look good when i do not have a belly. i would definitely recommend! <3",5,1,1,General,Dresses,Dresses,"This dress! <3. I've been wanting to try on this dress since it popped up online, we visited san francisco this weekend & i finally got my chance. it fit great & was flattering! i am currently pregnant & it worked with my growing belly but will also look good when i do not have a belly. i would definitely recommend! <3",320,81,1
15144,862,45,Classic versital shirt,"I purchased this shirt in white and black. the white is more ivory-isn, and is a bit thin/see through. the shirts can be worn with jeans, or dressed up with a skirt. i just wish it was a little more form fitting. i do like the hint of stretch in the fabric! very comfortable as well!",2,1,1,General,Tops,Knits,"Classic versital shirt. I purchased this shirt in white and black. the white is more ivory-isn, and is a bit thin/see through. the shirts can be worn with jeans, or dressed up with a skirt. i just wish it was a little more form fitting. i do like the hint of stretch in the fabric! very comfortable as well!",307,78,1
19679,1083,34,Beautiful,This dress is stunning! the quality is impeccable and the craftsmanship is stunning. i ordered my typical size and it was snug but sizing up would not have worked. this may be the most beautiful high quality piece i've ever seen at retailer!,5,1,8,General,Dresses,Dresses,Beautiful. This dress is stunning! the quality is impeccable and the craftsmanship is stunning. i ordered my typical size and it was snug but sizing up would not have worked. this may be the most beautiful high quality piece i've ever seen at retailer!,252,61,1
8385,1046,41,Nice design but high maintenance fabric,"I like the style and the design of this culottes, but the texture of the fabric will caught on any rough surface. i had a few loose loops for just one wear... so it will be nice to wear for work or shopping , but not good to go to the park or play with kids...",3,0,1,General,Bottoms,Pants,"Nice design but high maintenance fabric. I like the style and the design of this culottes, but the texture of the fabric will caught on any rough surface. i had a few loose loops for just one wear... so it will be nice to wear for work or shopping , but not good to go to the park or play with kids...",301,75,1
20037,1037,62,Great cords,"Corduroy fabric is historically difficult to fit well....even with stretch added. so imagine my surprise when i tried on the pilcro serif mid-rise corduroy pants in the saffron yellow shade and they fit great! they were long enough as well. i loved them so much that i ordered the aqua shade as well and when that pair arrived, it fit just a nicely as the yellow ones. how wonderful that there is finally a corduroy pant that truly fits well. these are not old lady pants either...how nice!",5,1,0,General,Bottoms,Jeans,"Great cords. Corduroy fabric is historically difficult to fit well....even with stretch added. so imagine my surprise when i tried on the pilcro serif mid-rise corduroy pants in the saffron yellow shade and they fit great! they were long enough as well. i loved them so much that i ordered the aqua shade as well and when that pair arrived, it fit just a nicely as the yellow ones. how wonderful that there is finally a corduroy pant that truly fits well. these are not old lady pants either...how nice!",503,125,1
12756,1084,26,"I really wanted to love this dress, but...","This dress is beautiful as pictured on the model. but on me, not so much. i am normally a size 0/00 with a 32b bra size. i ordered this dress in an xs and it was just too big and boxy. i also thought the material was going to be thicker, but it was very thin and didn't seem to fall right on my body. beautiful design, just not the right material or fit.",3,0,0,General,Dresses,Dresses,"I really wanted to love this dress, but.... This dress is beautiful as pictured on the model. but on me, not so much. i am normally a size 0/00 with a 32b bra size. i ordered this dress in an xs and it was just too big and boxy. i also thought the material was going to be thicker, but it was very thin and didn't seem to fall right on my body. beautiful design, just not the right material or fit.",398,105,1
13873,857,21,Love it!,"I got a m in this top and was a little scared but i absolutly love this top, i was debating on it and then caught it on the 30% off sale, my first retailer purchase and it definitely won't be my last! great quality, so comfortable, and very cute!",5,1,0,General Petite,Tops,Knits,"Love it!. I got a m in this top and was a little scared but i absolutly love this top, i was debating on it and then caught it on the 30% off sale, my first retailer purchase and it definitely won't be my last! great quality, so comfortable, and very cute!",256,70,1
20289,1035,37,They look great but are poorly made,"I purchased these in january and today i am going back to retailer to request a refund; the fabric on the inner thighs are absolutely thread bare. i am 5'6 and wear a size 28. they fit comfortably with great stretch, but apparently the fabric is so cheap that if your thighs should happen to touch, you will wear holes through the thighs in very short order.

first they started piling, which i had never a pair of pilcro pants do before, and within 2 washes i could actually see through the f",1,0,1,General Petite,Bottoms,Jeans,"They look great but are poorly made. I purchased these in january and today i am going back to retailer to request a refund; the fabric on the inner thighs are absolutely thread bare. i am 5'6 and wear a size 28. they fit comfortably with great stretch, but apparently the fabric is so cheap that if your thighs should happen to touch, you will wear holes through the thighs in very short order.

first they started piling, which i had never a pair of pilcro pants do before, and within 2 washes i could actually see through the f",532,125,0
18414,850,44,Recommend but with a caveat...,"I tried the 4 and felt it ran a bit big, i'm 34a-28-26, 5'6"" about 130lbs and expected to take a 6. the 4 was ideal.
love the concept but thought the material was too stiff to be a 'swing' tank. the pleats in the back poke up when you move or bend as if you've got little horns coming out of your back. i think a chambray, like cloth and stone produces might have rendered this super cute design better (imo).
it has a trapeze shape, i wouldn't plan on tucking it in.
finally, you mightn't want to",4,1,2,General Petite,Tops,Blouses,"Recommend but with a caveat.... I tried the 4 and felt it ran a bit big, i'm 34a-28-26, 5'6"" about 130lbs and expected to take a 6. the 4 was ideal.
love the concept but thought the material was too stiff to be a 'swing' tank. the pleats in the back poke up when you move or bend as if you've got little horns coming out of your back. i think a chambray, like cloth and stone produces might have rendered this super cute design better (imo).
it has a trapeze shape, i wouldn't plan on tucking it in.
finally, you mightn't want to",532,157,1
20303,1035,42,The denim god's answered my prayers!,"I have been wearing joe's jean's for years and have a hefty stable of varieties in my wardrobe. recently, 3 pairs of their skinny leggings have worn out much quicker than expected which has caused me to question their construction and overall durability. i have had my eye on these pilco legging jeans for a while but every time i have gone to pull the trigger, my size has been sold out. finally, all the stars aligned just as i bid my final pair of joe's skinny's ""adieu"" and i was able to purchase",5,1,2,General Petite,Bottoms,Jeans,"The denim god's answered my prayers!. I have been wearing joe's jean's for years and have a hefty stable of varieties in my wardrobe. recently, 3 pairs of their skinny leggings have worn out much quicker than expected which has caused me to question their construction and overall durability. i have had my eye on these pilco legging jeans for a while but every time i have gone to pull the trigger, my size has been sold out. finally, all the stars aligned just as i bid my final pair of joe's skinny's ""adieu"" and i was able to purchase",538,134,1
18629,1081,37,Snag rag!,"The dress is beautiful in pictures, but all the reviews are dead on...it was full of snags when it arrived! 8 snags to be exact. and the fabric was heavier than i expected. sadly, had to return.",1,0,1,General,Dresses,Dresses,"Snag rag!. The dress is beautiful in pictures, but all the reviews are dead on...it was full of snags when it arrived! 8 snags to be exact. and the fabric was heavier than i expected. sadly, had to return.",205,56,0
3531,872,54,Blue version runs much wider in the hips,"Tried on the blue in xsp and xs, tried the grey in xxs. i'm 5'2"", currently 33-25-37 with narrow shoulders and a long torso.
.
the blue version runs very wide in the hips compareed to the grey, but is very fitted at the top, giving it a trapeze shape. not a good look on my pear shape. the sleeves on the petite size were a better fit, but it was shorter than on the model. the grey is more slender with very snug arms that do stretch out.
.
a pass for me, even though i love the mostly cotton fa",4,1,0,General,Tops,Knits,"Blue version runs much wider in the hips. Tried on the blue in xsp and xs, tried the grey in xxs. i'm 5'2"", currently 33-25-37 with narrow shoulders and a long torso.
.
the blue version runs very wide in the hips compareed to the grey, but is very fitted at the top, giving it a trapeze shape. not a good look on my pear shape. the sleeves on the petite size were a better fit, but it was shorter than on the model. the grey is more slender with very snug arms that do stretch out.
.
a pass for me, even though i love the mostly cotton fa",542,146,1
15917,233,67,Now i understand,"When ordering this product, i thought it was strange that the mediums were sold out. i went with the small which is generally what i wear. however, these run small and i see why the medium ran out. they are pretty, however, i wish they made them more true to size.",3,0,0,Initmates,Intimate,Intimates,"Now i understand. When ordering this product, i thought it was strange that the mediums were sold out. i went with the small which is generally what i wear. however, these run small and i see why the medium ran out. they are pretty, however, i wish they made them more true to size.",282,65,1
16445,1050,40,Cropped joggers,"Nice quality and feel to the fabric but they are super lightweight and do not come down to the ankle. they fall at a strange place on the calf - a better cropped summer pant, perhaps.",3,0,1,General,Bottoms,Pants,"Cropped joggers. Nice quality and feel to the fabric but they are super lightweight and do not come down to the ankle. they fall at a strange place on the calf - a better cropped summer pant, perhaps.",200,48,1
2064,896,63,Love this sweater!!,"I am totally in love with this sweater!! it is lightweight, comfortable, and very versatile. throw on a pair of jeans and it is casual. throw on dark slacks or a skirt and it is dressy. the design does not become the focus of the sweater but rather takes it up a notch making it a fun piece to wear. the color is not a light red, but rather a rich cabernet wine color. this sweater is well on its way to becoming one of my all time favorites!!",5,1,4,General,Tops,Fine gauge,"Love this sweater!!. I am totally in love with this sweater!! it is lightweight, comfortable, and very versatile. throw on a pair of jeans and it is casual. throw on dark slacks or a skirt and it is dressy. the design does not become the focus of the sweater but rather takes it up a notch making it a fun piece to wear. the color is not a light red, but rather a rich cabernet wine color. this sweater is well on its way to becoming one of my all time favorites!!",464,125,1
20563,1055,40,"Soooo cute, but short rise.","I saw this at the store today. very excited about it but i had no idea how to get it on! there is a side zipper so i attempted to step into the jumper through the collar but could never get my arms through! from what i could see on my body, it would have been too short in the crotch. i decided not to fight with it to put on entirely. i gave up. cute shade of green though.",1,0,3,General,Bottoms,Pants,"Soooo cute, but short rise.. I saw this at the store today. very excited about it but i had no idea how to get it on! there is a side zipper so i attempted to step into the jumper through the collar but could never get my arms through! from what i could see on my body, it would have been too short in the crotch. i decided not to fight with it to put on entirely. i gave up. cute shade of green though.",403,105,1
17095,229,36,Get these if you want to run around bare-bottomed!,"I am so sad i have to return these leggings. they're adorable--so much so that my fiancã© commented favorably on them--but as other reviewers have pointed out, there's no elastic or string in the waistband so you have to walk around holding them up with one hand or they'll fall down! why, sleeping on snow? whyyyyyyyyyyy? they're so great otherwise!",1,0,2,Initmates,Intimate,Legwear,"Get these if you want to run around bare-bottomed!. I am so sad i have to return these leggings. they're adorable--so much so that my fiancã© commented favorably on them--but as other reviewers have pointed out, there's no elastic or string in the waistband so you have to walk around holding them up with one hand or they'll fall down! why, sleeping on snow? whyyyyyyyyyyy? they're so great otherwise!",402,109,0
20746,883,26,"Really thick, quality top. very swingy bottom","I bought the red and white. both tank tops were a nice, thick material- definitely high quality. i was hoping there would just be a little bit of swing at the bottom, just enough to be loose and flattering. but there is a ton of extra fabric at the end, which with a larger bust wound up edging into looking a little maternity. but i think it'd be great on you if you tend to do well with very drapey or swingy tops. it runs a touch big- im normally between a small and an xs, and the xs was not even",3,0,0,General,Tops,Knits,"Really thick, quality top. very swingy bottom. I bought the red and white. both tank tops were a nice, thick material- definitely high quality. i was hoping there would just be a little bit of swing at the bottom, just enough to be loose and flattering. but there is a ton of extra fabric at the end, which with a larger bust wound up edging into looking a little maternity. but i think it'd be great on you if you tend to do well with very drapey or swingy tops. it runs a touch big- im normally between a small and an xs, and the xs was not even",547,136,1
3446,841,35,Not as expected,"In paper crown dresses, i wear a small or size 6, so for this top, i ordered a small. it was huge on me! for reference, i'm 5'7"", 130 lbs, 34a. it is very wide towards the bottom, and it flares out way more than in the picture. the material is also a little stiff, so it really sticks out. even if i sized down to the xs, i think the bottom would still look unflattering, so i'm returning this.",2,0,11,General Petite,Tops,Blouses,"Not as expected. In paper crown dresses, i wear a small or size 6, so for this top, i ordered a small. it was huge on me! for reference, i'm 5'7"", 130 lbs, 34a. it is very wide towards the bottom, and it flares out way more than in the picture. the material is also a little stiff, so it really sticks out. even if i sized down to the xs, i think the bottom would still look unflattering, so i'm returning this.",411,117,0
10304,619,53,Runs about 2 sizes too small,I can't believe how small these are. i almost wondered if the size was marked incorrectly. these are so pretty and such a shame because i love them. the rise in the crotch is also very short. very full in the legs and one is longer than the other:( the stripes don't line up in places which is also disappointing for this price!,3,0,14,General,Bottoms,Shorts,Runs about 2 sizes too small. I can't believe how small these are. i almost wondered if the size was marked incorrectly. these are so pretty and such a shame because i love them. the rise in the crotch is also very short. very full in the legs and one is longer than the other:( the stripes don't line up in places which is also disappointing for this price!,358,91,0
14654,1033,29,Great fit for everyday jeans,"Love these! i'm about 5'4, and they fit right at the ankle. the slit gives them a little more detail than regular jeans. i've worn them several times, and they haven't stretched out at all. perfect for spring.",5,1,7,General Petite,Bottoms,Jeans,"Great fit for everyday jeans. Love these! i'm about 5'4, and they fit right at the ankle. the slit gives them a little more detail than regular jeans. i've worn them several times, and they haven't stretched out at all. perfect for spring.",239,62,1
19331,867,36,Cute but no,This shirt ran small and was more sheer than i expected. had to send it back.,2,0,1,General Petite,Tops,Knits,Cute but no. This shirt ran small and was more sheer than i expected. had to send it back.,90,24,0
3307,872,58,Perfect top,"This top has the thickness and comfort of a sweatshirt, with artistic flair and a figure flattering, unique cut. it works very well on me as i'm a petite large. i only wish it was a little roomier, or that i was 10 lbs lighter, but it's stretchy and i really love wearing it. the color is a rich indigo with a slightly worn look which adds texture and dimension.",5,1,4,General Petite,Tops,Knits,"Perfect top. This top has the thickness and comfort of a sweatshirt, with artistic flair and a figure flattering, unique cut. it works very well on me as i'm a petite large. i only wish it was a little roomier, or that i was 10 lbs lighter, but it's stretchy and i really love wearing it. the color is a rich indigo with a slightly worn look which adds texture and dimension.",375,96,1
817,886,29,Great winter tunic,"Great for layering and staying warm in the winter. definitely stay on the larger size, the fabric has very little give but is comfortable.",4,1,0,General Petite,Tops,Knits,"Great winter tunic. Great for layering and staying warm in the winter. definitely stay on the larger size, the fabric has very little give but is comfortable.",158,35,1
6522,1033,47,Disappointing,"I have purchased many different styles of pilcro jeans, and have loved them all!!! these, unfortunately i do not like. i think they run large and the fit, just blah. the waist gapped and kinda had a ""mom jean"" look. i felt the quality was also not up to standard for this brand.",3,0,3,General,Bottoms,Jeans,"Disappointing. I have purchased many different styles of pilcro jeans, and have loved them all!!! these, unfortunately i do not like. i think they run large and the fit, just blah. the waist gapped and kinda had a ""mom jean"" look. i felt the quality was also not up to standard for this brand.",293,75,0
14429,1094,57,Gorgeous but runs very small,"I wish his dress would have worked. it is beautiful!! however, the waist and bust runs very small. the bottom of the dress does flare out a bit but the waist is so tight that unless you are a stick, everything at your waist and hips will stick out.",3,0,6,General,Dresses,Dresses,"Gorgeous but runs very small. I wish his dress would have worked. it is beautiful!! however, the waist and bust runs very small. the bottom of the dress does flare out a bit but the waist is so tight that unless you are a stick, everything at your waist and hips will stick out.",278,68,1
16106,763,57,This dress looks much better in person!,"I recently bought this dress in an retailer store, to attend an art museum event,. the open back created an awkward bra exposure problem, which i solved by buying a gabardia camisole by lacausa (the same brand and print as the dress.) the dress is described as casual, but it can be dressed up with gold shoes or sandals. 
the retailer saleswoman brought me the dara vegan leather jacket in plum, by hei hei to complete the outfit. the contrast between the airy dress and the vegan leather was chic and",5,1,1,Initmates,Intimate,Lounge,"This dress looks much better in person!. I recently bought this dress in an retailer store, to attend an art museum event,. the open back created an awkward bra exposure problem, which i solved by buying a gabardia camisole by lacausa (the same brand and print as the dress.) the dress is described as casual, but it can be dressed up with gold shoes or sandals. 
the retailer saleswoman brought me the dara vegan leather jacket in plum, by hei hei to complete the outfit. the contrast between the airy dress and the vegan leather was chic and",544,132,0
8318,1094,40,Bad fabric,"I so loved this dress online. not so much in person. first of all it didn't fit my build. i'm 5'4"" with a 32f bust and the waist line was just a bit too high to be flattering. mainly i'm returning it because of the fabric. the petticoat netting does rustle as another buyer pointed out. my main fault is that the top fabric is synthetic and cheaply printed. basically it's the lining fabric of a better made dress or coat. if it were cotton voile or silk it would have been beautiful. why they made i",2,0,0,General Petite,Dresses,Dresses,"Bad fabric. I so loved this dress online. not so much in person. first of all it didn't fit my build. i'm 5'4"" with a 32f bust and the waist line was just a bit too high to be flattering. mainly i'm returning it because of the fabric. the petticoat netting does rustle as another buyer pointed out. my main fault is that the top fabric is synthetic and cheaply printed. basically it's the lining fabric of a better made dress or coat. if it were cotton voile or silk it would have been beautiful. why they made i",512,132,0
18718,1030,33,Low quality denim!,"They ripped on the inside upper thighs of both legs less than two months after purchase. i've washed them once, and wear them a few times a week, so they're certainly not worn out. i've never had a pair give out even close to this early. i loved the cut of the jeans and the softness, and they hold their shape well after multiple wearings. the color is lighter than pictured. i paid full price (the most i've ever paid for jeans) because i'd heard good things about jean shop quality. even at sale p",1,0,6,General,Bottoms,Jeans,"Low quality denim!. They ripped on the inside upper thighs of both legs less than two months after purchase. i've washed them once, and wear them a few times a week, so they're certainly not worn out. i've never had a pair give out even close to this early. i loved the cut of the jeans and the softness, and they hold their shape well after multiple wearings. the color is lighter than pictured. i paid full price (the most i've ever paid for jeans) because i'd heard good things about jean shop quality. even at sale p",520,130,0
2088,912,50,Love this wool seamed vest,"I feel fabulous in this plum and charcoal vest. i am 5/9"" and the m'l is the perfect length and size. i was initially attracted by the external seams (and color) and was delighted with the silhouette and soft structure of the wool blend fabric. it is versatile and yet a kind of signature piece that i will wear with joy. .",5,1,3,General,Tops,Fine gauge,"Love this wool seamed vest. I feel fabulous in this plum and charcoal vest. i am 5/9"" and the m'l is the perfect length and size. i was initially attracted by the external seams (and color) and was delighted with the silhouette and soft structure of the wool blend fabric. it is versatile and yet a kind of signature piece that i will wear with joy. .",351,93,1
2493,939,30,"Great light coat, poorly made","Love the color, cut, and weight (its like a fleece-weight coat, but longer and more appropriate for an office.)

within two wears one of the buttons popped off.

within three wears, one of the back shoulder seams had split.

this coat is lovely but shoddily made. worth it with a discount and if you know how to hand-sew, because minor repairs will be in your future. it is so beautiful but not worth full price at this build quality.",3,1,2,General,Tops,Sweaters,"Great light coat, poorly made. Love the color, cut, and weight (its like a fleece-weight coat, but longer and more appropriate for an office.)

within two wears one of the buttons popped off.

within three wears, one of the back shoulder seams had split.

this coat is lovely but shoddily made. worth it with a discount and if you know how to hand-sew, because minor repairs will be in your future. it is so beautiful but not worth full price at this build quality.",465,114,1
494,1081,59,Flattering and comfortable,"I ordered size small and medium because i can go either way depending on brands. and both look great! there is no significant difference except medium fell about 1 inch longer. i am 5'4"" and size small hem fell about 1"" above knee. size medium felt tab bit more loose but i thought fabric may stretch a bit after wear so i'm keeping size small. what a beautiful dress! although the body of dress is jersey material, it is lined so there is good coverage. i tend to not like ""faux leather"" since they",5,1,10,General,Dresses,Dresses,"Flattering and comfortable. I ordered size small and medium because i can go either way depending on brands. and both look great! there is no significant difference except medium fell about 1 inch longer. i am 5'4"" and size small hem fell about 1"" above knee. size medium felt tab bit more loose but i thought fabric may stretch a bit after wear so i'm keeping size small. what a beautiful dress! although the body of dress is jersey material, it is lined so there is good coverage. i tend to not like ""faux leather"" since they",527,117,1
3324,984,40,Better in person!,"As other reviewers have pointed out, this jacket is way prettier in person than it is in the photos. i can wear it with just about anything. the fabric is soft and lightweight, and drapes really nicely. my only complaint is the photos make the taupe jacket look like it has just a hint of peach/mauve, but in person it's a pretty standard beige. i would have liked that hint of color.",5,1,0,General,Jackets,Jackets,"Better in person!. As other reviewers have pointed out, this jacket is way prettier in person than it is in the photos. i can wear it with just about anything. the fabric is soft and lightweight, and drapes really nicely. my only complaint is the photos make the taupe jacket look like it has just a hint of peach/mauve, but in person it's a pretty standard beige. i would have liked that hint of color.",403,101,1
20831,1078,23,Not right for me,"The colors are beautiful and the fabric is very soft and comfortable. i will be returning because of issues with length and being low cut.

for reference i am 5'5 145lbs, 38-30-40, 34ddd. the dress was low cut and showed too much cleavage for my comfort, but this may not be an issue for women with smaller breasts (or if you don't mind some cleavage showing). this length was also a bit too long, so if you are 5'5 or shorter you may want to order the petite size.",3,1,6,General,Dresses,Dresses,"Not right for me. The colors are beautiful and the fabric is very soft and comfortable. i will be returning because of issues with length and being low cut.

for reference i am 5'5 145lbs, 38-30-40, 34ddd. the dress was low cut and showed too much cleavage for my comfort, but this may not be an issue for women with smaller breasts (or if you don't mind some cleavage showing). this length was also a bit too long, so if you are 5'5 or shorter you may want to order the petite size.",485,125,0
8067,1078,32,Perfect postpartum dress!,"I bought this dress for a couple fall weddings to hide my postpartum belly. it was only available in a size 8 -- which is my typical size. i was nervous based on the reviews it would still be too big, but it fits perfectly. i am 5'10"", so i assume my frame can handle the drappiness well!",5,1,0,General Petite,Dresses,Dresses,"Perfect postpartum dress!. I bought this dress for a couple fall weddings to hide my postpartum belly. it was only available in a size 8 -- which is my typical size. i was nervous based on the reviews it would still be too big, but it fits perfectly. i am 5'10"", so i assume my frame can handle the drappiness well!",315,83,1
7908,877,24,Somehow it did not work?,"I tried yellow motif, but unfortunately, i did not purchase it.
it was quite difficult to explain why it did not work for me...
i liked its floral pattern and shape of sleeves.
texture was ok.
usually, i like a cool touch of linen.
but this t-shirt was not as comfortable as the other products made of linen.
i was not quite sure; it just was not right for me.
only word i could think was ""average.""
personally, i do not recommend it, but who knows, maybe it is right for you...
so, try wear",3,0,0,General Petite,Tops,Knits,"Somehow it did not work?. I tried yellow motif, but unfortunately, i did not purchase it.
it was quite difficult to explain why it did not work for me...
i liked its floral pattern and shape of sleeves.
texture was ok.
usually, i like a cool touch of linen.
but this t-shirt was not as comfortable as the other products made of linen.
i was not quite sure; it just was not right for me.
only word i could think was ""average.""
personally, i do not recommend it, but who knows, maybe it is right for you...
so, try wear",526,138,0
20086,1094,32,Ripped after one wear,"I have purchased many dresses from retailer for weddings and events.  this is the first time i have been disappointed with the quality.  however, the sleeve on this dress ripped after lifting up my toddler son in the middle of a wedding.  the size 4 seemed to fit perfectly, but the fabric had no give.  it was not overly tight in the bust as i am bra size 34aa.  for the price, i expected better.  the color and style of the dress is gorgeous, so perhaps ordering one size up is the answer. . .",2,0,0,General,Dresses,Dresses,"Ripped after one wear. I have purchased many dresses from retailer for weddings and events.  this is the first time i have been disappointed with the quality.  however, the sleeve on this dress ripped after lifting up my toddler son in the middle of a wedding.  the size 4 seemed to fit perfectly, but the fabric had no give.  it was not overly tight in the bust as i am bra size 34aa.  for the price, i expected better.  the color and style of the dress is gorgeous, so perhaps ordering one size up is the answer. . .",518,127,0
22255,862,48,Floral delight,I purchased this in both colors the neutral and grey. i love them both but the grey is by far my fave. this is a nice soft beautiful tee. the burst of flowers are just adorable. i found these ran tts on me. cute little top and such a good deal at sale price.,5,1,0,General,Tops,Knits,Floral delight. I purchased this in both colors the neutral and grey. i love them both but the grey is by far my fave. this is a nice soft beautiful tee. the burst of flowers are just adorable. i found these ran tts on me. cute little top and such a good deal at sale price.,274,70,1
16857,831,49,Pretty- soft fabric and nice color.,I tried this in the store and i liked it. the color is very pretty and the fabric is soft and drapey and feels like good quality. i like the little subtle dots. i ultimately did not buy it because the tie at the throat is not my style and because i just don't need this kind of piece enough in my wardrobe at the moment. but it is a very nice top and i would recommend it if you like the color and style.,5,1,7,General,Tops,Blouses,Pretty- soft fabric and nice color.. I tried this in the store and i liked it. the color is very pretty and the fabric is soft and drapey and feels like good quality. i like the little subtle dots. i ultimately did not buy it because the tie at the throat is not my style and because i just don't need this kind of piece enough in my wardrobe at the moment. but it is a very nice top and i would recommend it if you like the color and style.,441,110,1
